date,kind,symbol,factor_choice,fair_return,observed_return,z_score,gross_trade_return,cost_per_side_bps,net_trade_return,position_weight,portfolio_contribution
2026-08-20,weeknight,RNVDAUSDT,RQQQUSDT,0.009852495500949786,0.00593160941697124,1.1441310217566663,-0.004932182490752224,25.0,-0.009932182490752225,0.04,-0.000397287299630089
2026-08-20,weeknight,RTSLAUSDT,RQQQUSDT,0.012164362691005268,-0.0011300790545678472,3.4562984390977394,-0.013505796356575894,25.0,-0.018505796356575895,0.04,-0.0007402318542630358
2026-08-20,weeknight,RAAPLUSDT,RQQQUSDT,0.0031837018058385874,-0.002848288764858724,1.4244264260668444,0.0028808408256300044,25.0,-0.0021191591743699957,0.04,-8.476636697479983e-05
2026-08-25,weeknight,RAAPLUSDT,RQQQUSDT,0.0017751084306236056,-0.003220614700042172,1.1797167056597522,0.003329239123408101,25.0,-0.0016707608765918992,0.04,-6.683043506367597e-05
2026-09-04,weeknight,RTSLAUSDT,RQQQUSDT,0.0006274514411756399,-0.023035884259056172,6.152010878665985,-0.012663577989108332,25.0,-0.017663577989108333,0.04,-0.0007065431195643334
