date,kind,symbol,factor_choice,fair_return,observed_return,z_score,gross_trade_return,cost_per_side_bps,net_trade_return,position_weight,portfolio_contribution
2026-06-02,weeknight,RAAPLUSDT,RQQQUSDT,0.002129143453440008,-0.002172759686716358,1.015874352487638,0.0004938998462693522,25.0,-0.004506100153730648,0.04,-0.0001802440061492259
2026-06-18,weeknight,RNVDAUSDT,RQQQUSDT,0.01274861754155481,0.009294696954232446,1.0078685292049263,0.006185517074352109,25.0,0.0011855170743521092,0.04,4.742068297408437e-05
2026-06-18,weeknight,RGOOGLUSDT,RQQQUSDT,0.009852542478201075,0.004537082260942257,1.0703828467909087,-0.003957877461706838,25.0,-0.008957877461706839,0.04,-0.0003583150984682736
2026-06-25,weeknight,RNVDAUSDT,RQQQUSDT,0.005402438556032563,-0.0007936924334498392,1.808057038153275,0.007570536828963803,25.0,0.002570536828963803,0.04,0.00010282147315855212
2026-06-25,weeknight,RTSLAUSDT,RQQQUSDT,0.003618254474172846,-0.005312115165679473,2.3217238630622012,0.004749572832122961,25.0,-0.0002504271678770388,0.04,-1.0017086715081551e-05
2026-06-25,weeknight,RGOOGLUSDT,RQQQUSDT,0.002877981678719608,-0.006084954703148853,1.8048810390641352,-0.006999620537668894,25.0,-0.011999620537668895,0.04,-0.0004799848215067558
2026-06-26,weeknight,RAAPLUSDT,RQQQUSDT,0.005525584201207702,0.0012649211474460406,1.006135698525003,0.005121871480983531,25.0,0.00012187148098353074,0.04,4.8748592393412295e-06
2026-07-02,weeknight,RTSLAUSDT,RQQQUSDT,0.0029228601399788187,-0.003467270818795517,1.6613108004927175,0.017744488812229786,25.0,0.012744488812229785,0.04,0.0005097795524891915
2026-07-14,weeknight,RAAPLUSDT,RQQQUSDT,0.001482918282640777,-0.00397840820280819,1.2896667652371632,-0.006928625664388788,25.0,-0.011928625664388789,0.04,-0.00047714502657555155
2026-07-16,weeknight,RNVDAUSDT,RQQQUSDT,0.001238080459005405,-0.003491722511431253,1.38017636558885,-0.01153337114766495,25.0,-0.01653337114766495,0.04,-0.0006613348459065981
